track_id,track_name,artist_name,album_name
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,a Gift & a Curse
49lrrlWBTkVEIuHkjnf7tI,Easter In Miami,Kodak Black,Easter In Miami
3gntlMjzCV42fREUUbOHCN,GNF (OKOKOK),Polo G,Hall of Fame
2dMigpD6d166hY9yCvd5Hi,Slang That Iron,YNW Melly,Slang That Iron
5vDNippoMr52KpXBO9b9KQ,Coffin,Lil Yachty,Lil Boat 3.5
6gbiTbclnHlmSIPfmF2zEc,Gang Shit No Lame Shit,Key Glock,Glockoma
0rk2IHFiHFnO7t0jvAeHW9,Back Again (feat. Lil Durk),King Von,Welcome to O'Block
5wPhznwiMGc1tUojiEkAkG,Elimination,JayDaYoungan,23
2cnKST6T9qUo2i907lm8zX,a m a r i,J. Cole,The Off-Season
4ftPGuvuJaHKrpYcyCRAS1,Turkey Season,Only The Family,Only The Family - Lil Durk Presents: Loyal Bros
2TuG54cMutq4jDdjwFKzCF,Legendary,YNW Melly,Collect Call EP
1fvCggAYrW0VtCljtqv4h2,Last Memory,Takeoff,The Last Rocket
58QBeBFcCbjVUCLgiUmeW7,I'm The Mac,Lil Yachty,Nuthin' 2 Prove
6eSU1exzDvBEXmBRxspeh5,Shots,Lil Tecca,We Love You Tecca
4vVjPTApwXZwB2H3mBq3ml,HOTEL LOBBY (Unc & Phew),Quavo,Only Built For Infinity Links
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Lil Mosey,Certified Hitmaker
6JATJXM3NhEpgvnGJKLQLo,Under Enemy Arms,Trippie Redd,!
1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,Playboi Carti,Whole Lotta Red
7rEUuRanwV9piOwwPKxPIM,south to west,Gunna,DS4EVER
4Z7XtjSL1fyFnd6bTYhEIQ,"Go Krazy, Go Stupid Freestyle",Lil Yachty,"Go Krazy, Go Stupid Freestyle"
0c5qAIcNy3jNIxmZXllp4V,Ride,King Von,Welcome to O'Block
5mt882Eqx22RwFOTE01jS8,Sleazy Flow,SleazyWorld Go,Sleazy Flow
53JqTGiqfRuNwC54WAIG6H,LLC,Money Man,LLC
4YAH2RzSQ78Oz8lqL9CS13,Thot Thot,JayDaYoungan,Forever 23
2HYeSE78ngSfNUaQu0kyXn,New Wave,Wizz Havinn,New Wave
6i0uW748D3VqDae1iwhyik,Imagine!,Dina Ayada,SUPERSTAR! (Deluxe)
7iTTWHbr4tAlsRJN4m4bay,Strike (Holster),Lil Yachty,Strike (Holster)
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),Juice WRLD,Bad Boy (with Young Thug)
4VA2prpKDv7ywbnPFfPrWS,ROLANDO (Caught In The Rain),DUSTY LOCANE,UNTAMED
3PbRjYudOMppYH3vjW0o8c,Being Honest,Kay Flock,The D.O.A. Tape
05aZ9sAU1YXndHv0FMi9iW,Demons (feat. Fivio Foreign & Sosa Geek),Drake,Dark Lane Demo Tapes
7KVPsVMOK3NL7subwJ0dZj,Who You Foolin,Gunna,Drip or Drown 2
6klLvorLoo1sxvZcjJIY8I,Make No Sense,YoungBoy Never Broke Again,AI YoungBoy 2
1rlIrbWboTRGeKfHhgbJRZ,FLIP THE SWITCH (feat. Drake),Quavo,QUAVO HUNCHO
2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,Lil Tecca,We Love You Tecca 2
3TcKJZF01kCz0yyadk3gsI,Havin My Way (feat. Lil Durk),Lil Skies,Unbothered
3zc8VZEpM1onYV4FWGdFvm,Tombstone,Rod Wave,SoulFly
0wIdpFIZqaKyscPAMSQ9wq,Yeah Yeah,Young Nudy,Slimeball
3ABFD8SzXwMbUspLFxbbwK,how you did that (feat. Kodak Black),Gunna,DS4EVER
4VcPtoOpK3oBMDZJ9Ptp9f,No Auto Durk,Only The Family,"Lil Durk Presents: Only the Family Involved, Vol. 2"
4l8CIibQf8cVk5BcrquSiD,Opp Stoppa,YBN Nahmir,VISIONLAND
7AOtINPzQ4N4JVXk7ygZZz,Intro,Roddy Ricch,Please Excuse Me for Being Antisocial
0eu0YHRc7cnMjtAQOE7Xyb,Murder Rate (feat. Polo G),Blueface,Find The Beat
37If4sC0Si28T6z63qhR5z,Nothing Changed,Quavo,Only Built For Infinity Links
6XgePBEtC8kcXybummLElW,Strings,iann dior,Industry Plant
3nS9a01VvXHQriLqJYwRqG,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,WUNNA
3NxFTRr0692mbC5hD0nEZD,Onna Come Up,Lil Eazzyy,Onna Come Up
04HeNxRRVjcwctfp2K2kMu,the ride-,Lil Yachty,Let’s Start Here.
3h3NKhcfHkr6GvEpC3FRI5,Toxic,Polo G,Hall of Fame
