danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,audio_features,4rXLjWdF2ZZpXCVTfWcshS,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,https://api.spotify.com/v1/audio-analysis/4rXLjWdF2ZZpXCVTfWcshS,125040,4,4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,a Gift & a Curse
0.746,0.829,7,-5.124,0,0.323,0.105,0,0.145,0.681,93.006,audio_features,49lrrlWBTkVEIuHkjnf7tI,spotify:track:49lrrlWBTkVEIuHkjnf7tI,https://api.spotify.com/v1/tracks/49lrrlWBTkVEIuHkjnf7tI,https://api.spotify.com/v1/audio-analysis/49lrrlWBTkVEIuHkjnf7tI,187097,4,49lrrlWBTkVEIuHkjnf7tI,Easter In Miami,Kodak Black,Easter In Miami
0.783,0.662,3,-9.491,0,0.409,0.617,0,0.101,0.458,145.88,audio_features,3gntlMjzCV42fREUUbOHCN,spotify:track:3gntlMjzCV42fREUUbOHCN,https://api.spotify.com/v1/tracks/3gntlMjzCV42fREUUbOHCN,https://api.spotify.com/v1/audio-analysis/3gntlMjzCV42fREUUbOHCN,116256,4,3gntlMjzCV42fREUUbOHCN,GNF (OKOKOK),Polo G,Hall of Fame
0.838,0.357,1,-9.643,1,0.319,0.6,0,0.0667,0.599,122.949,audio_features,2dMigpD6d166hY9yCvd5Hi,spotify:track:2dMigpD6d166hY9yCvd5Hi,https://api.spotify.com/v1/tracks/2dMigpD6d166hY9yCvd5Hi,https://api.spotify.com/v1/audio-analysis/2dMigpD6d166hY9yCvd5Hi,147542,4,2dMigpD6d166hY9yCvd5Hi,Slang That Iron,YNW Melly,Slang That Iron
0.92,0.547,6,-4.98,0,0.272,0.0241,1.45e-06,0.0998,0.606,138.05,audio_features,5vDNippoMr52KpXBO9b9KQ,spotify:track:5vDNippoMr52KpXBO9b9KQ,https://api.spotify.com/v1/tracks/5vDNippoMr52KpXBO9b9KQ,https://api.spotify.com/v1/audio-analysis/5vDNippoMr52KpXBO9b9KQ,89536,4,5vDNippoMr52KpXBO9b9KQ,Coffin,Lil Yachty,Lil Boat 3.5
0.828,0.434,5,-10.609,1,0.301,0.0394,0,0.0806,0.38,115.071,audio_features,6gbiTbclnHlmSIPfmF2zEc,spotify:track:6gbiTbclnHlmSIPfmF2zEc,https://api.spotify.com/v1/tracks/6gbiTbclnHlmSIPfmF2zEc,https://api.spotify.com/v1/audio-analysis/6gbiTbclnHlmSIPfmF2zEc,131600,4,6gbiTbclnHlmSIPfmF2zEc,Gang Shit No Lame Shit,Key Glock,Glockoma
0.87,0.563,5,-8.373,1,0.451,0.0173,0,0.119,0.725,159.931,audio_features,0rk2IHFiHFnO7t0jvAeHW9,spotify:track:0rk2IHFiHFnO7t0jvAeHW9,https://api.spotify.com/v1/tracks/0rk2IHFiHFnO7t0jvAeHW9,https://api.spotify.com/v1/audio-analysis/0rk2IHFiHFnO7t0jvAeHW9,151000,4,0rk2IHFiHFnO7t0jvAeHW9,Back Again (feat. Lil Durk),King Von,Welcome to O'Block
0.755,0.517,4,-9.804,0,0.0751,0.754,0,0.127,0.699,129.027,audio_features,5wPhznwiMGc1tUojiEkAkG,spotify:track:5wPhznwiMGc1tUojiEkAkG,https://api.spotify.com/v1/tracks/5wPhznwiMGc1tUojiEkAkG,https://api.spotify.com/v1/audio-analysis/5wPhznwiMGc1tUojiEkAkG,154560,4,5wPhznwiMGc1tUojiEkAkG,Elimination,JayDaYoungan,23
0.725,0.713,4,-6.173,0,0.187,0.127,0,0.617,0.207,65.988,audio_features,2cnKST6T9qUo2i907lm8zX,spotify:track:2cnKST6T9qUo2i907lm8zX,https://api.spotify.com/v1/tracks/2cnKST6T9qUo2i907lm8zX,https://api.spotify.com/v1/audio-analysis/2cnKST6T9qUo2i907lm8zX,148421,4,2cnKST6T9qUo2i907lm8zX,a m a r i,J. Cole,The Off-Season
0.894,0.832,7,-5.411,1,0.3,0.0381,0,0.114,0.759,150.022,audio_features,4ftPGuvuJaHKrpYcyCRAS1,spotify:track:4ftPGuvuJaHKrpYcyCRAS1,https://api.spotify.com/v1/tracks/4ftPGuvuJaHKrpYcyCRAS1,https://api.spotify.com/v1/audio-analysis/4ftPGuvuJaHKrpYcyCRAS1,108206,4,4ftPGuvuJaHKrpYcyCRAS1,Turkey Season,Only The Family,Only The Family - Lil Durk Presents: Loyal Bros
