track_id,track_name,artist_name,album_name

5FTu62s2XK1W0RlRmwVy3b,Isabella's Lullaby but is it okay if it's lofi?,Kijugo,Isabella's Lullaby but is it okay if it's lofi?

58mFTXwoEKzZUmofAYoCV2,Shinzo wo Sasageyo but is it okay if it's lofi?,Kijugo,Shinzo wo Sasageyo but is it okay if it's lofi?

640GYv0XyB1r9QsylKGFOi,Unravel but is it okay if it's lofi?,Kijugo,Unravel but is it okay if it's lofi?

3jfz3xfTeVbcoatNFYkB9i,"Name of Love (From ""Attack on Titan"") [Lofi Version]",Palademix,Ani-Lofi

0LeJHys2xfHTJFGnZA1Is5,Crossing Field but is it okay if it's lofi?,Kijugo,Crossing Field but is it okay if it's lofi?

2EjRnCBXAC0LhGJNlcMOhp,Giorno's Theme but is it okay if it's lofi?,Kijugo,Giorno's Theme but is it okay if it's lofi?

1pd9azdEJr6LmA6e6T034M,Secret Base but is it okay if it's lofi?,Kijugo,Secret Base but is it okay if it's lofi?

1XO8HD42xLYpOVL3VuvX4y,Samidare but is it okay if it's lofi?,Kijugo,Samidare but is it okay if it's lofi?

0TeYElHlc5OR2AXszt79AO,"History Maker (From ""Yuri!!! On ICE"") [Lofi Beat]",Celestial Alignment,lofi anime dreams

7dtI23uVx5Gcnhcc9N8JJl,Kaikai Kitan but is it okay if it's lofi?,Kijugo,Kaikai Kitan but is it okay if it's lofi?

7DZb7cKZSXe0diWbkxLS2e,My War but is it okay if it's lofi?,Kijugo,My War but is it okay if it's lofi?

4ZRwXmftin5396X6wiBCt4,Kyoran Hey Kids!! (Noragami Aragoto),Otaku,Anime Lofi Vol. 1

1e9SamSU6DSVdO02kVVD3J,Yamiyo but is it okay if it's lofi?,Kijugo,Yamiyo but is it okay if it's lofi?

3eW7QqA0dcEiVKlXSe6GyV,Uso but is it okay if it's lofi?,Kijugo,Uso but is it okay if it's lofi?

17vpZmGzA4mO7iLLlGuJio,Demon Slayer Gurenge LOFI,Sunday Vibes,Demon Slayer Gurenge LOFI

50qmrfxhSENeZtOHmDK1xu,youseebiggirl but it's lofi (attack on titan),kurochuu.,youseebiggirl but it's lofi (attack on titan)

4LV68uqftMrCC6VPYB6fQ7,Survive and Get the Blade - Remix,Rifti Beats,Demon Slayer

5mGRmise3vL0WmUZIZoKiF,"Kamado Tanjiro No Uta (From ""Demon Slayer: Kimetsu No Yaiba"") [Lofi Beat]",Celestial Alignment,lofi anime dreams

5x1bLqleRS0OlvT8N2dCCc,幻昼 - 钢琴版,文武贝,幻昼 (钢琴版)

0LgpScInSEhaNJ1SvMQBtz,identity but it's lofi (the promised neverland),kurochuu.,identity but it's lofi (the promised neverland)

5lWk8MnxRVyMKLJoeaHSJ4,Crying for Rain but is it okay if it's lofi?,Kijugo,Crying for Rain but is it okay if it's lofi?

5lgk6BoLLRtuikGEDh895g,Spectrum but is it okay if it's lofi?,Kijugo,Spectrum but is it okay if it's lofi?

221o9DvmsX6zOIG8BbP3nz,Cruel Angel's Thesis but is it okay if it's lofi?,Kijugo,Cruel Angel's Thesis but is it okay if it's lofi?

4GqPscwRIJPx0996n6waZN,PVZ but is it okay if it's lofi?,Kijugo,PVZ but is it okay if it's lofi?

5dOeOUJemhbvoprbZgpYFl,Red Swan Lofi,Cadred,Attack on Titan Lofi

5l6ek7Tebvu4CyWw9rJZcQ,Hikaru Nara - Lofi Remix,dj-Jo,Hikaru Nara (Lofi Remix)

1X6P1bmORix03PpL5oIxRj,Fukashigi no Carte but is it okay if it's lofi?,Kijugo,Fukashigi no Carte but is it okay if it's lofi?

5AhaJ2oPmZ4ZpXquuS7vyb,Black Catcher but is it okay if it's lofi?,Kijugo,Black Catcher but is it okay if it's lofi?

3aLcJuAarDz0kzxcdSbAYc,Again (Full Metal),Otaku,Anime Lofi Vol. 1

723iQZxU8MToulytMk7hkG,Kataware Doki but is it okay if it's lofi?,Kijugo,Kataware Doki but is it okay if it's lofi?

1i66zsaWvcRUjaLC3avDBv,Good Morning World but is it okay if it's lofi?,Kijugo,Good Morning World but is it okay if it's lofi?

6p7LCmClblM4MBjn4zaCW7,Kiss of Death but is it okay if it's lofi?,Kijugo,Kiss of Death but is it okay if it's lofi?

37e31nThyKhdRp3we8ACPl,the day ~ my hero academia lofi,Closed on Sunday,the day ~ my hero academia lofi

3NQ1xXh0XHaUTkaStccYUF,Inferno but is it okay if it's lofi?,Kijugo,Inferno but is it okay if it's lofi?

07z71gr2si2PFyH7PwN0Bq,Departure! ~ Hunter X Hunter Lofi,SuperDope,Departure! ~ Hunter X Hunter Lofi

3NF3wBWuRRIU6Wyzauuoar,One Punch Man but is it okay if it's lofi?,Kijugo,One Punch Man but is it okay if it's lofi?

42gNdN3PBsnkpBOobKq6q5,Kimi No Sei - Lofi Remix,dj-Jo,Kimi No Sei (Lofi Remix)

0lWbLV5F4dkkmVIDRVYFNb,vivid vice but it's lofi (jujutsu kaisen),kurochuu.,vivid vice but it's lofi (jujutsu kaisen)

4WEaFFgUIXVwPXNnhQMs9z,Naruto Silhouette LOFI,Sunday Vibes,Naruto Silhouette LOFI

569CIAcWLW3UzwrmGuZx8l,Polaris but is it okay if it's lofi?,Kijugo,Polaris but is it okay if it's lofi?

2BNJnr2IY3KaDVdOM9wnSB,Fly High but is it okay if it's lofi?,Kijugo,Fly High but is it okay if it's lofi?

3ROCJlR5o9k0XK5xrAqfhT,Genshin Impact - Lofi Remix,Peng Lexer,Genshin Impact (Lofi Remix)

6JlPfbN7veJUuefGaT3xQm,Iro Kousui but is it okay if it's lofi?,Kijugo,Iro Kousui but is it okay if it's lofi?

3FtVNlJLb8ZHFtKDWuE9P8,Lost In Paradise but is it okay if it's lofi?,Kijugo,Lost In Paradise but is it okay if it's lofi?

2BvE82xlCiqKQAbvo6WaCU,My Neighbor Totoro (Path of the Wind),Kato,Ghibli Vibes

0cnRsDVV0HcCVDoDyTZodP,Dragon Force but is it okay if it's lofi?,Kijugo,Dragon Force but is it okay if it's lofi?

0mBRKg5LRwBO99x4VTAMOT,Howl's Moving Castle (Merry Go Round),Kato,Ghibli Vibes

3FRDpYycmoY0R9WTOw788Y,homura but it's lofi (demon slayer),kurochuu.,homura but it's lofi (demon slayer)

243Facyqi1faTp5J73y18d,shock but it's lofi (attack on titan),kurochuu.,shock but it's lofi (attack on titan)

37a8CBoVqBfYnESi8Oh82w,sadness and sorrow ~ naruto lofi,Closed on Sunday,sadness and sorrow ~ naruto lofi

5rC7M1izBFGVdgN2qR3Pfi,Sparkle (Your Name),Kato,Anime & Chill 2

0DHOIbYfrjzlhF6IFEH08c,The World (Death Note),Kato,Anime & Chill 2

4G9X7CZFiwfG2P99sIaaK2,A Cruel Angel's Thesis (Evangelion),Kato,Anime & Chill

1sYMCBbVX9ys6j7bIn0c5o,"Naruto Ending Theme ""Wind""",Celestial Alignment,"Naruto Ending Theme ""Wind"""

3hTjNujSnZRQx7NoTVviRS,call your name but it's lofi (attack on titan),kurochuu.,call your name but it's lofi (attack on titan)

2jRu7tJH0Imf0IrNrTGNEk,"Blue Bird (From ""Naruto Shippuden"") [Chillhop]",Celestial Alignment,lofi anime dreams

5q00l1hd3NVzKwth9eR6wc,Fairy Fountain,Kato,Zelda Vibes

0Y0oRGznoQr3X3X1GhYVif,Kamado Tanjirou No Uta (LoFi),TouchTone Da SoundGawd,Kamado Tanjirou No Uta (LoFi)

1cZs6g0D92yj2tGOtFOt0p,Red Swan,Kato,Attack on Titan Vibes

4sLfFG174pxNKjkLrOkEEs,hollow purple,Senpai Xavi.,hollow purple

76JctwI0YsZXTc6CZvsku9,"The World (From ""Death Note"")",Kenzie Smith Piano,"Anime Music Collection Piano Solo, Vol. 4"

2MWMSbfvo4VA4UnmOqo6rT,Death Note - L's Theme,Rhaeide,Death Note - L's Theme

3IaoXcpLf81j6dnaY5RbUZ,Hikaru Nara,Cat Trumpet,Your Lie In April Piano Collection

2gzXUbyI6UtQ03SbLtHK7U,Departure (Hunter X Hunter),Kato,Anime & Chill

2yo91qEwGvykgUQWyAshUb,"Call of Silence (From ""Attack on Titan"") [Lofi Remix]",Kenma,"Call of Silence (From ""Attack on Titan"") [Lofi Remix]"

5PZ4YH02w9BJJHLTG4aoBI,"Above (From ""Haikyuu"") [Lofi Version]",Palademix,Ani-Lofi

2dwghmff11oX6BvSsYH0bT,Attack on Titan,Kato,Attack on Titan Vibes

3UGbkycvji1lTp1AyRftYb,Spirited Away (One Summer's Day),Kato,Ghibli Vibes

5tmsr1uG9XjMz5DudzHufy,Rascal Does Not Dream of a Simple Date,Valley Swerve,Rascal Does Not Dream of a Simple Date

4BqEU5WnVSjKoFCPrKQBKC,Rascal Does Not Dream of a Boombox,GhostlyJay,Rascal Does Not Dream of a Boombox

6jyCBf3dZrJBjCTkJtUFVY,Gurenge but is it okay if it's lofi?,Kijugo,Gurenge but is it okay if it's lofi?

