danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.713,0.16,9,-18.828,0,0.0623,0.606,0.485,0.111,0.242,138.058,audio_features,5FTu62s2XK1W0RlRmwVy3b,spotify:track:5FTu62s2XK1W0RlRmwVy3b,https://api.spotify.com/v1/tracks/5FTu62s2XK1W0RlRmwVy3b,https://api.spotify.com/v1/audio-analysis/5FTu62s2XK1W0RlRmwVy3b,148261,4,5FTu62s2XK1W0RlRmwVy3b,Isabella's Lullaby but is it okay if it's lofi?,Kijugo,Isabella's Lullaby but is it okay if it's lofi?
0.879,0.438,0,-15.566,1,0.0464,0.68,0.805,0.0864,0.433,120.007,audio_features,58mFTXwoEKzZUmofAYoCV2,spotify:track:58mFTXwoEKzZUmofAYoCV2,https://api.spotify.com/v1/tracks/58mFTXwoEKzZUmofAYoCV2,https://api.spotify.com/v1/audio-analysis/58mFTXwoEKzZUmofAYoCV2,152000,4,58mFTXwoEKzZUmofAYoCV2,Shinzo wo Sasageyo but is it okay if it's lofi?,Kijugo,Shinzo wo Sasageyo but is it okay if it's lofi?
0.751,0.258,7,-14.304,0,0.126,0.123,0.152,0.196,0.51,60.012,audio_features,640GYv0XyB1r9QsylKGFOi,spotify:track:640GYv0XyB1r9QsylKGFOi,https://api.spotify.com/v1/tracks/640GYv0XyB1r9QsylKGFOi,https://api.spotify.com/v1/audio-analysis/640GYv0XyB1r9QsylKGFOi,155000,4,640GYv0XyB1r9QsylKGFOi,Unravel but is it okay if it's lofi?,Kijugo,Unravel but is it okay if it's lofi?
0.601,0.194,6,-27.534,0,0.0347,0.943,0.945,0.159,0.206,140.033,audio_features,3jfz3xfTeVbcoatNFYkB9i,spotify:track:3jfz3xfTeVbcoatNFYkB9i,https://api.spotify.com/v1/tracks/3jfz3xfTeVbcoatNFYkB9i,https://api.spotify.com/v1/audio-analysis/3jfz3xfTeVbcoatNFYkB9i,133714,4,3jfz3xfTeVbcoatNFYkB9i,"Name of Love (From ""Attack on Titan"") [Lofi Version]",Palademix,Ani-Lofi
0.749,0.424,2,-15.792,0,0.197,0.874,0.891,0.175,0.155,120.072,audio_features,0LeJHys2xfHTJFGnZA1Is5,spotify:track:0LeJHys2xfHTJFGnZA1Is5,https://api.spotify.com/v1/tracks/0LeJHys2xfHTJFGnZA1Is5,https://api.spotify.com/v1/audio-analysis/0LeJHys2xfHTJFGnZA1Is5,135967,4,0LeJHys2xfHTJFGnZA1Is5,Crossing Field but is it okay if it's lofi?,Kijugo,Crossing Field but is it okay if it's lofi?
0.71,0.288,9,-16.738,1,0.06,0.292,0.559,0.101,0.546,80.004,audio_features,2EjRnCBXAC0LhGJNlcMOhp,spotify:track:2EjRnCBXAC0LhGJNlcMOhp,https://api.spotify.com/v1/tracks/2EjRnCBXAC0LhGJNlcMOhp,https://api.spotify.com/v1/audio-analysis/2EjRnCBXAC0LhGJNlcMOhp,167250,4,2EjRnCBXAC0LhGJNlcMOhp,Giorno's Theme but is it okay if it's lofi?,Kijugo,Giorno's Theme but is it okay if it's lofi?
0.745,0.481,3,-11.19,0,0.0451,0.477,0.825,0.363,0.332,119.837,audio_features,1pd9azdEJr6LmA6e6T034M,spotify:track:1pd9azdEJr6LmA6e6T034M,https://api.spotify.com/v1/tracks/1pd9azdEJr6LmA6e6T034M,https://api.spotify.com/v1/audio-analysis/1pd9azdEJr6LmA6e6T034M,202867,4,1pd9azdEJr6LmA6e6T034M,Secret Base but is it okay if it's lofi?,Kijugo,Secret Base but is it okay if it's lofi?
0.796,0.134,2,-15.341,0,0.0634,0.761,0.787,0.507,0.389,130.049,audio_features,1XO8HD42xLYpOVL3VuvX4y,spotify:track:1XO8HD42xLYpOVL3VuvX4y,https://api.spotify.com/v1/tracks/1XO8HD42xLYpOVL3VuvX4y,https://api.spotify.com/v1/audio-analysis/1XO8HD42xLYpOVL3VuvX4y,162462,4,1XO8HD42xLYpOVL3VuvX4y,Samidare but is it okay if it's lofi?,Kijugo,Samidare but is it okay if it's lofi?
0.66,0.154,4,-22.108,1,0.0445,0.883,0.909,0.111,0.058,120.087,audio_features,0TeYElHlc5OR2AXszt79AO,spotify:track:0TeYElHlc5OR2AXszt79AO,https://api.spotify.com/v1/tracks/0TeYElHlc5OR2AXszt79AO,https://api.spotify.com/v1/audio-analysis/0TeYElHlc5OR2AXszt79AO,146708,3,0TeYElHlc5OR2AXszt79AO,"History Maker (From ""Yuri!!! On ICE"") [Lofi Beat]",Celestial Alignment,lofi anime dreams
0.896,0.374,10,-19.658,1,0.106,0.754,0.875,0.122,0.641,139.959,audio_features,7dtI23uVx5Gcnhcc9N8JJl,spotify:track:7dtI23uVx5Gcnhcc9N8JJl,https://api.spotify.com/v1/tracks/7dtI23uVx5Gcnhcc9N8JJl,https://api.spotify.com/v1/audio-analysis/7dtI23uVx5Gcnhcc9N8JJl,115716,4,7dtI23uVx5Gcnhcc9N8JJl,Kaikai Kitan but is it okay if it's lofi?,Kijugo,Kaikai Kitan but is it okay if it's lofi?
0.898,0.389,9,-18.108,1,0.109,0.853,0.709,0.107,0.573,130.02,audio_features,7DZb7cKZSXe0diWbkxLS2e,spotify:track:7DZb7cKZSXe0diWbkxLS2e,https://api.spotify.com/v1/tracks/7DZb7cKZSXe0diWbkxLS2e,https://api.spotify.com/v1/audio-analysis/7DZb7cKZSXe0diWbkxLS2e,101356,4,7DZb7cKZSXe0diWbkxLS2e,My War but is it okay if it's lofi?,Kijugo,My War but is it okay if it's lofi?
0.679,0.384,0,-12.171,0,0.0318,0.202,0.855,0.239,0.37,140.186,audio_features,4ZRwXmftin5396X6wiBCt4,spotify:track:4ZRwXmftin5396X6wiBCt4,https://api.spotify.com/v1/tracks/4ZRwXmftin5396X6wiBCt4,https://api.spotify.com/v1/audio-analysis/4ZRwXmftin5396X6wiBCt4,109732,4,4ZRwXmftin5396X6wiBCt4,Kyoran Hey Kids!! (Noragami Aragoto),Otaku,Anime Lofi Vol. 1
0.34,0.325,11,-15.831,0,0.0422,0.822,0.925,0.374,0.1,69.482,audio_features,1e9SamSU6DSVdO02kVVD3J,spotify:track:1e9SamSU6DSVdO02kVVD3J,https://api.spotify.com/v1/tracks/1e9SamSU6DSVdO02kVVD3J,https://api.spotify.com/v1/audio-analysis/1e9SamSU6DSVdO02kVVD3J,195429,4,1e9SamSU6DSVdO02kVVD3J,Yamiyo but is it okay if it's lofi?,Kijugo,Yamiyo but is it okay if it's lofi?
0.86,0.241,9,-16.005,0,0.0547,0.834,0.881,0.167,0.3,119.984,audio_features,3eW7QqA0dcEiVKlXSe6GyV,spotify:track:3eW7QqA0dcEiVKlXSe6GyV,https://api.spotify.com/v1/tracks/3eW7QqA0dcEiVKlXSe6GyV,https://api.spotify.com/v1/audio-analysis/3eW7QqA0dcEiVKlXSe6GyV,199500,4,3eW7QqA0dcEiVKlXSe6GyV,Uso but is it okay if it's lofi?,Kijugo,Uso but is it okay if it's lofi?
0.658,0.366,7,-11.759,1,0.0315,0.699,0.367,0.231,0.191,90.043,audio_features,17vpZmGzA4mO7iLLlGuJio,spotify:track:17vpZmGzA4mO7iLLlGuJio,https://api.spotify.com/v1/tracks/17vpZmGzA4mO7iLLlGuJio,https://api.spotify.com/v1/audio-analysis/17vpZmGzA4mO7iLLlGuJio,141333,4,17vpZmGzA4mO7iLLlGuJio,Demon Slayer Gurenge LOFI,Sunday Vibes,Demon Slayer Gurenge LOFI
0.587,0.489,9,-21.12,0,0.0425,0.672,0.959,0.41,0.212,77.997,audio_features,50qmrfxhSENeZtOHmDK1xu,spotify:track:50qmrfxhSENeZtOHmDK1xu,https://api.spotify.com/v1/tracks/50qmrfxhSENeZtOHmDK1xu,https://api.spotify.com/v1/audio-analysis/50qmrfxhSENeZtOHmDK1xu,154547,4,50qmrfxhSENeZtOHmDK1xu,youseebiggirl but it's lofi (attack on titan),kurochuu.,youseebiggirl but it's lofi (attack on titan)
0.573,0.313,4,-14.633,0,0.0484,0.613,0.833,0.18,0.728,143.998,audio_features,4LV68uqftMrCC6VPYB6fQ7,spotify:track:4LV68uqftMrCC6VPYB6fQ7,https://api.spotify.com/v1/tracks/4LV68uqftMrCC6VPYB6fQ7,https://api.spotify.com/v1/audio-analysis/4LV68uqftMrCC6VPYB6fQ7,188409,4,4LV68uqftMrCC6VPYB6fQ7,Survive and Get the Blade - Remix,Rifti Beats,Demon Slayer
