track_id,track_name,artist_name,album_name
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe)
11E4fU3tfvXVHHeLEC02fa,Barbie Girl,Aqua,Barbie Girl
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition)
1MkFj1ThZZxjYMNkczx9mk,Be Alright,Ariana Grande,Dangerous Woman
6PD6DGLa4Vwm6PweC1VXs2,Fergalicious,Fergie,The Dutchess Deluxe
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,Finesse (Remix) [feat. Cardi B]
1RMRkCn07y2xtBip9DzwmC,Turn Up the Music,Chris Brown,Fortune (Expanded Edition)
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded
36phXHOKx8rO7CMp2vNX4x,Love Myself,Hailee Steinfeld,HAIZ
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,Hot Fuss
6o4BYWzrQvfaFmQhm8Zq2v,Rather Be (feat. Jess Glynne),Clean Bandit,I Cry When I Laugh
2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,Soulja Boy,iSouljaBoyTellem
7BbyWKteSctTKe696qf7fw,Year 3000,Jonas Brothers,It's About Time
67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,Jason Derulo
6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,Jason Derulo,Jason Derulo
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,Justified
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,Mail on Sunday
6RpiAj9Ofv0Uqp6n2OuRoh,In the Ayer (feat. will.I.am),Flo Rida,Mail on Sunday
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,The Middle
6FE2iI43OZnszFLuLtvvmg,Classic,MKTO,MKTO
10GJQkjRJcZhGTLagFOC62,Most Girls,Hailee Steinfeld,Most Girls
4c0rkFPszqQTyC753tsCMU,My Boo - Hitman's Club Mix,Ghost Town DJs,My Boo (Hitman's Club Mix)
3hpUL1gDZWiz8k4DtYhZsS,Hot In Herre,Nelly,Nellyville
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)"
1GWEFjOrbv9SbzXkt9E3Z3,Gasolina,Daddy Yankee,Puro Cachengue
1DunhgeZSEgWiIYbHqXl0c,Latch,Disclosure,Settle (Deluxe)
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Outkast,Speakerboxxx/The Love Below
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,Spice
3v47tb6hvbeb3dVOgYZUfP,Birth In Reverse,St. Vincent,St. Vincent (Deluxe Edition)
07Tx168RSsUS1HqkDIOZbH,Cupid Shuffle,Cupid,Time for a Change
0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,The Trinity
1vnnXMrBeEWiRg3YCMCjQq,Despacito - Remix,Luis Fonsi,VIDA
