danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,214480,4,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe)
0.81,0.96,6,-5.72,0,0.0368,0.0153,0.273,0.283,0.963,130.003,audio_features,11E4fU3tfvXVHHeLEC02fa,spotify:track:11E4fU3tfvXVHHeLEC02fa,https://api.spotify.com/v1/tracks/11E4fU3tfvXVHHeLEC02fa,https://api.spotify.com/v1/audio-analysis/11E4fU3tfvXVHHeLEC02fa,197907,4,11E4fU3tfvXVHHeLEC02fa,Barbie Girl,Aqua,Barbie Girl
0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,audio_features,5rb9QrpfcKFHM1EUbSIurX,spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX,https://api.spotify.com/v1/audio-analysis/5rb9QrpfcKFHM1EUbSIurX,250373,4,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition)
0.813,0.456,1,-7.667,0,0.0684,0.169,2.86e-06,0.105,0.587,108.801,audio_features,1MkFj1ThZZxjYMNkczx9mk,spotify:track:1MkFj1ThZZxjYMNkczx9mk,https://api.spotify.com/v1/tracks/1MkFj1ThZZxjYMNkczx9mk,https://api.spotify.com/v1/audio-analysis/1MkFj1ThZZxjYMNkczx9mk,179293,4,1MkFj1ThZZxjYMNkczx9mk,Be Alright,Ariana Grande,Dangerous Woman
0.906,0.584,8,-7.722,0,0.316,0.0551,0,0.127,0.834,129.063,audio_features,6PD6DGLa4Vwm6PweC1VXs2,spotify:track:6PD6DGLa4Vwm6PweC1VXs2,https://api.spotify.com/v1/tracks/6PD6DGLa4Vwm6PweC1VXs2,https://api.spotify.com/v1/audio-analysis/6PD6DGLa4Vwm6PweC1VXs2,292373,4,6PD6DGLa4Vwm6PweC1VXs2,Fergalicious,Fergie,The Dutchess Deluxe
0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,audio_features,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4,3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,Finesse (Remix) [feat. Cardi B]
0.594,0.841,1,-5.792,1,0.102,0.000238,2.22e-06,0.156,0.643,129.925,audio_features,1RMRkCn07y2xtBip9DzwmC,spotify:track:1RMRkCn07y2xtBip9DzwmC,https://api.spotify.com/v1/tracks/1RMRkCn07y2xtBip9DzwmC,https://api.spotify.com/v1/audio-analysis/1RMRkCn07y2xtBip9DzwmC,227973,4,1RMRkCn07y2xtBip9DzwmC,Turn Up the Music,Chris Brown,Fortune (Expanded Edition)
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,audio_features,0ByMNEPAPpOR5H69DVrTNy,spotify:track:0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/tracks/0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy,267080,4,0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded
0.617,0.759,0,-6.785,0,0.0678,0.0026,0,0.419,0.324,122.924,audio_features,36phXHOKx8rO7CMp2vNX4x,spotify:track:36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/tracks/36phXHOKx8rO7CMp2vNX4x,https://api.spotify.com/v1/audio-analysis/36phXHOKx8rO7CMp2vNX4x,218773,4,36phXHOKx8rO7CMp2vNX4x,Love Myself,Hailee Steinfeld,HAIZ
0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,audio_features,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4,7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,Hot Fuss
0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,audio_features,6o4BYWzrQvfaFmQhm8Zq2v,spotify:track:6o4BYWzrQvfaFmQhm8Zq2v,https://api.spotify.com/v1/tracks/6o4BYWzrQvfaFmQhm8Zq2v,https://api.spotify.com/v1/audio-analysis/6o4BYWzrQvfaFmQhm8Zq2v,227833,4,6o4BYWzrQvfaFmQhm8Zq2v,Rather Be (feat. Jess Glynne),Clean Bandit,I Cry When I Laugh
0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,audio_features,2q4rjDy9WhaN3o9MvDbO21,spotify:track:2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,193387,4,2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,Soulja Boy,iSouljaBoyTellem
0.622,0.919,11,-4.088,1,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,audio_features,7BbyWKteSctTKe696qf7fw,spotify:track:7BbyWKteSctTKe696qf7fw,https://api.spotify.com/v1/tracks/7BbyWKteSctTKe696qf7fw,https://api.spotify.com/v1/audio-analysis/7BbyWKteSctTKe696qf7fw,201813,4,7BbyWKteSctTKe696qf7fw,Year 3000,Jonas Brothers,It's About Time
0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,audio_features,67T6l4q3zVjC5nZZPXByU8,spotify:track:67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/tracks/67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/audio-analysis/67T6l4q3zVjC5nZZPXByU8,221253,4,67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,Jason Derulo
0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,audio_features,6BaxqcoEM9r3LXisTyJjST,spotify:track:6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/tracks/6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/audio-analysis/6BaxqcoEM9r3LXisTyJjST,215747,4,6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,Jason Derulo,Jason Derulo
