track_id,track_name,artist_name,album_name
4Yaw2PmyOETOnEM3TCf98I,Eenie Meenie - Radio Version,Sean Kingston,Eenie Meenie EP
12dU3vAh6AFoJkisorfoUl,Don't Look Back In Anger - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition)
4a5pNRjwmzYQuEY1E7O6pj,Breakfast In America - 2010 Remastered,Supertramp,Breakfast In America (Deluxe Edition)
0oWraSo5ASJ0h1BEagTyEw,Hold My Hand,Lady Gaga,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")"
13P5rwmk2EsoFRIz9UCeh9,Cool Kids,Echosmith,Talking Dreams (Deluxe Edition)
70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,Elle King,Love Stuff
3yrvQHw6pQemsrCQEpMnKv,Ain't It Fun,Paramore,Paramore (Deluxe Edition)
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition)
1RMRkCn07y2xtBip9DzwmC,Turn Up the Music,Chris Brown,Fortune (Expanded Edition)
63rbP24OzfaQCJjsHWZXnY,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,Nothing but the Beat 2.0
1tSjFlsXMVAyjmMRGxj2Lc,Empire State Of Mind,JAY-Z,The Blueprint 3
6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,KISS,Dressed To Kill
7Bti1K9lP7pMCFhZeWqEUU,Epiphany,Cast Recording,Bare the Album - Act 1
5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,Rihanna,Talk That Talk
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,No Strings Attached
6XcfKZvJio9Z0fQy11GnNX,broken,lovelytheband,finding it hard to smile
6qYkmqFsXbj8CQjAdbYz07,Blinding Lights,The Weeknd,Blinding Lights
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Dua Lipa,Future Nostalgia
22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy
47EiUVwUp4C9fGccaPuUCS,DÁKITI,Bad Bunny,DÁKITI
1OXK32HZOXxwDdRzekiniw,Flying Home,Mykal Kilgore,Songs for a New World (New York City Center 2018 Encores! Off-Center Cast Recording)
2R2Tmfn9QyPN7C0pNKBOb0,Are You There_,Cast Recording,Bare the Album - Act 1
2prd2maZSy2ObdVhUMbbJr,The Bitch Of Living - Original Broadway Cast Recording/2006,"John Gallagher, Jr.",Spring Awakening (Original Broadway Cast Recording)
1U5lcceV3DcHAUDtjTzyO6,No Voice,Cast Recording,Bare the Album Act 2
5cGu6RiHYCB4K7NYtpicXf,One,Cast Recording,Bare the Album - Act 1
