danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.718,0.638,1,-3.479,1,0.031,0.0412,0,0.169,0.835,121.242,audio_features,4Yaw2PmyOETOnEM3TCf98I,spotify:track:4Yaw2PmyOETOnEM3TCf98I,https://api.spotify.com/v1/tracks/4Yaw2PmyOETOnEM3TCf98I,https://api.spotify.com/v1/audio-analysis/4Yaw2PmyOETOnEM3TCf98I,201973,4,4Yaw2PmyOETOnEM3TCf98I,Eenie Meenie - Radio Version,Sean Kingston,Eenie Meenie EP
0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,audio_features,12dU3vAh6AFoJkisorfoUl,spotify:track:12dU3vAh6AFoJkisorfoUl,https://api.spotify.com/v1/tracks/12dU3vAh6AFoJkisorfoUl,https://api.spotify.com/v1/audio-analysis/12dU3vAh6AFoJkisorfoUl,289560,4,12dU3vAh6AFoJkisorfoUl,Don't Look Back In Anger - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition)
0.532,0.663,0,-5.886,0,0.0292,0.425,1.07e-06,0.0734,0.756,75.14,audio_features,4a5pNRjwmzYQuEY1E7O6pj,spotify:track:4a5pNRjwmzYQuEY1E7O6pj,https://api.spotify.com/v1/tracks/4a5pNRjwmzYQuEY1E7O6pj,https://api.spotify.com/v1/audio-analysis/4a5pNRjwmzYQuEY1E7O6pj,159347,4,4a5pNRjwmzYQuEY1E7O6pj,Breakfast In America - 2010 Remastered,Supertramp,Breakfast In America (Deluxe Edition)
0.519,0.617,7,-4.287,1,0.0313,0.0387,0,0.401,0.222,147.708,audio_features,0oWraSo5ASJ0h1BEagTyEw,spotify:track:0oWraSo5ASJ0h1BEagTyEw,https://api.spotify.com/v1/tracks/0oWraSo5ASJ0h1BEagTyEw,https://api.spotify.com/v1/audio-analysis/0oWraSo5ASJ0h1BEagTyEw,225300,3,0oWraSo5ASJ0h1BEagTyEw,Hold My Hand,Lady Gaga,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")"
0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,audio_features,13P5rwmk2EsoFRIz9UCeh9,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,237627,4,13P5rwmk2EsoFRIz9UCeh9,Cool Kids,Echosmith,Talking Dreams (Deluxe Edition)
0.612,0.921,7,-2.882,1,0.085,0.0183,0,0.0576,0.446,139.988,audio_features,70eDxAyAraNTiD6lx2ZEnH,spotify:track:70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH,https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH,202173,4,70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,Elle King,Love Stuff
0.61,0.893,9,-3.681,1,0.0921,0.154,4.41e-05,0.021,0.673,104.031,audio_features,3yrvQHw6pQemsrCQEpMnKv,spotify:track:3yrvQHw6pQemsrCQEpMnKv,https://api.spotify.com/v1/tracks/3yrvQHw6pQemsrCQEpMnKv,https://api.spotify.com/v1/audio-analysis/3yrvQHw6pQemsrCQEpMnKv,296520,4,3yrvQHw6pQemsrCQEpMnKv,Ain't It Fun,Paramore,Paramore (Deluxe Edition)
0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,audio_features,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/tracks/6Z8R6UsFuGXGtiIxiD8ISb,https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb,192790,5,6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition)
0.594,0.841,1,-5.792,1,0.102,0.000238,2.22e-06,0.156,0.643,129.925,audio_features,1RMRkCn07y2xtBip9DzwmC,spotify:track:1RMRkCn07y2xtBip9DzwmC,https://api.spotify.com/v1/tracks/1RMRkCn07y2xtBip9DzwmC,https://api.spotify.com/v1/audio-analysis/1RMRkCn07y2xtBip9DzwmC,227973,4,1RMRkCn07y2xtBip9DzwmC,Turn Up the Music,Chris Brown,Fortune (Expanded Edition)
0.664,0.872,3,-3.117,1,0.0396,0.0306,0,0.228,0.555,129.873,audio_features,63rbP24OzfaQCJjsHWZXnY,spotify:track:63rbP24OzfaQCJjsHWZXnY,https://api.spotify.com/v1/tracks/63rbP24OzfaQCJjsHWZXnY,https://api.spotify.com/v1/audio-analysis/63rbP24OzfaQCJjsHWZXnY,210093,4,63rbP24OzfaQCJjsHWZXnY,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,Nothing but the Beat 2.0
