danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name
0.393,0.588,9,-6.68,0,0.0613,0.345,0,0.134,0.728,203.145,audio_features,500h8jAdr7LvzzXlm1qxtK,spotify:track:500h8jAdr7LvzzXlm1qxtK,https://api.spotify.com/v1/tracks/500h8jAdr7LvzzXlm1qxtK,https://api.spotify.com/v1/audio-analysis/500h8jAdr7LvzzXlm1qxtK,186333,4,500h8jAdr7LvzzXlm1qxtK,Magic,Pilot,From The Album Of The Same Name
0.683,0.751,5,-10.184,1,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,audio_features,0hKF8N8aflF1uDzEEnPr2j,spotify:track:0hKF8N8aflF1uDzEEnPr2j,https://api.spotify.com/v1/tracks/0hKF8N8aflF1uDzEEnPr2j,https://api.spotify.com/v1/audio-analysis/0hKF8N8aflF1uDzEEnPr2j,266560,4,0hKF8N8aflF1uDzEEnPr2j,Life Is A Highway,Tom Cochrane,Mad Mad World
0.799,0.623,0,-9.374,1,0.0812,0.0141,0,0.43,0.773,103.649,audio_features,6uQKuonTU8VKBz5SHZuQXD,spotify:track:6uQKuonTU8VKBz5SHZuQXD,https://api.spotify.com/v1/tracks/6uQKuonTU8VKBz5SHZuQXD,https://api.spotify.com/v1/audio-analysis/6uQKuonTU8VKBz5SHZuQXD,238800,4,6uQKuonTU8VKBz5SHZuQXD,This Is How We Do It,Montell Jordan,This Is How We Do It
0.792,0.81,10,-5.198,0,0.0368,0.00609,0.000153,0.224,0.509,108.054,audio_features,5WTxbyWTpoqhdxEN2szOnl,spotify:track:5WTxbyWTpoqhdxEN2szOnl,https://api.spotify.com/v1/tracks/5WTxbyWTpoqhdxEN2szOnl,https://api.spotify.com/v1/audio-analysis/5WTxbyWTpoqhdxEN2szOnl,287293,4,5WTxbyWTpoqhdxEN2szOnl,Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,Backstreet Boys
0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,audio_features,1FTSo4v6BOZH9QxKc3MbVM,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM,121160,4,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,Blur (Special Edition)
0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,audio_features,47BBI51FKFwOMlIiX6m8ya,spotify:track:47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/tracks/47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/audio-analysis/47BBI51FKFwOMlIiX6m8ya,213307,4,47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,Millennium
0.661,0.973,0,-2.994,0,0.037,0.11,1.74e-05,0.617,0.75,108.037,audio_features,6sbXGUn9V9ZaLwLdOfpKRE,spotify:track:6sbXGUn9V9ZaLwLdOfpKRE,https://api.spotify.com/v1/tracks/6sbXGUn9V9ZaLwLdOfpKRE,https://api.spotify.com/v1/audio-analysis/6sbXGUn9V9ZaLwLdOfpKRE,232827,4,6sbXGUn9V9ZaLwLdOfpKRE,Larger Than Life,Backstreet Boys,Millennium
0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,No Strings Attached
0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-06,0.0372,0.908,165.071,audio_features,2AW37v0bDyuOzGP3XnmFuA,spotify:track:2AW37v0bDyuOzGP3XnmFuA,https://api.spotify.com/v1/tracks/2AW37v0bDyuOzGP3XnmFuA,https://api.spotify.com/v1/audio-analysis/2AW37v0bDyuOzGP3XnmFuA,192427,4,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,*NSYNC,No Strings Attached
0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,audio_features,6naxalmIoLFWR0siv8dnQQ,spotify:track:6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/tracks/6naxalmIoLFWR0siv8dnQQ,https://api.spotify.com/v1/audio-analysis/6naxalmIoLFWR0siv8dnQQ,211160,4,6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again
