track_id,track_name,artist_name,album_name
61mWefnWQOLf90gepjOCb3,Duality,Slipknot,Vol. 3: The Subliminal Verses
3GiJq4AQK7324mfIQbpiTf,Custer,Slipknot,.5: The Gray Chapter (Special Edition)
15DLl1r2zi07Ssq5RT1yT0,Wait and Bleed,Slipknot,Slipknot
6wqJeItl3Vc3az4ZicSQAB,Before I Forget,Slipknot,Vol. 3: The Subliminal Verses
5hheGdf1cb4rK0FNiedCfK,The Devil in I,Slipknot,.5: The Gray Chapter (Special Edition)
5mpUKTdskZea0gStWzeHUZ,Unsainted,Slipknot,We Are Not Your Kind
431a6o9W8aYTQWNGmdgDm0,All Hope Is Gone,Slipknot,All Hope Is Gone
6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,Korn,Follow The Leader
3o7TMr6RmIusYH7Kkg7ujR,Coming Undone,Korn,See You On the Other Side
2F6FfZ4w8z3eJpSxPotVO5,Falling Away from Me,Korn,Issues
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,Toxicity
0snQkGI5qnAmohLE7jTsTn,Toxicity,System Of A Down,Toxicity
4e9eGQYsOiBcftrWXwsVco,Aerials,System Of A Down,Toxicity
0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,System Of A Down,Mezmerize
6oO7WMjD6kEvCITLbVj0mu,Hypnotize,System Of A Down,Hypnotize
4vAHXnJ5YWLq5hbIVzZS1h,Spiders,System Of A Down,System Of A Down
31RTFPrB7wmYBhlkM2ILXG,Sugar,System Of A Down,System Of A Down
40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,Disturbed,The Sickness
59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition)
0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Rage Against The Machine,Evil Empire
1MQTmpYOZ6fcMQc56Hdo7T,Sleep Now In the Fire,Rage Against The Machine,The Battle Of Los Angeles
2rBHnIxbhkMGLpqmsNX91M,Bombtrack,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition)
1XTGyfJeMiZXrZ1W3NolcB,Know Your Enemy,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition)
3QjQp2bfAvLTCSi8Zhzqis,People of the Sun,Rage Against The Machine,Evil Empire
2QiqwOVUctPRVggO9G1Zs5,Wake Up,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition)
1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,Rage Against The Machine,The Battle Of Los Angeles
