track_id,track_name,artist_name,album_name
6QHYEZlm9wyfXfEM1vSu1P,Boots of Spanish Leather,Bob Dylan,The Times They Are A-Changin'
13lZDbwonGhOflQLQIfdtZ,We're Going to Be Friends,The White Stripes,White Blood Cells
7gpy7sfWPNuOKmUNs3XQYE,Carry On,fun.,Some Nights
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe)
4OdPDkj0lmvfcPaQHas77n,Jack the Ripper,Morrissey,World of Morrissey
7bu0znpSbTks0O6I98ij0W,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition)
10nyNJ6zNy2YVYLrcwLccB,No Surprises,Radiohead,OK Computer
6GsP3uMCd0Dn5T37C93waZ,Sick Love,Red Hot Chili Peppers,The Getaway
18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,The Freewheelin' Bob Dylan
2DFRFqWNahKtFD112H2iEZ,Do You Realize??,The Flaming Lips,Yoshimi Battles the Pink Robots
0ccCwNzXvr1Yoz91vKz31Z,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,Yoshimi Battles the Pink Robots
63OQupATfueTdZMWTxW03A,Karma Police,Radiohead,OK Computer
2a1iMaoWQ5MnvLFBDv4qkf,High and Dry,Radiohead,The Bends
5QLHGv0DfpeXLNFo7SFEy1,1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition)
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,David Bowie,David Bowie (aka Space Oddity) [2015 Remaster]
3Am0IbOxmvlSXro7N5iSfZ,Strawberry Fields Forever - Remastered 2009,The Beatles,Magical Mystery Tour (Remastered)
1A8SxnqRK3qabmuN2qxIpa,Spaceman,The Killers,Day & Age (Bonus Tracks)
