danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_id,track_name,artist_name,album_name

0.615,0.114,8,-17.285,1,0.0357,0.926,4e-06,0.166,0.401,101.189,audio_features,6QHYEZlm9wyfXfEM1vSu1P,spotify:track:6QHYEZlm9wyfXfEM1vSu1P,https://api.spotify.com/v1/tracks/6QHYEZlm9wyfXfEM1vSu1P,https://api.spotify.com/v1/audio-analysis/6QHYEZlm9wyfXfEM1vSu1P,277107,4,6QHYEZlm9wyfXfEM1vSu1P,Boots of Spanish Leather,Bob Dylan,The Times They Are A-Changin'

0.534,0.441,7,-5.752,1,0.0303,0.661,0,0.0934,0.439,97.009,audio_features,13lZDbwonGhOflQLQIfdtZ,spotify:track:13lZDbwonGhOflQLQIfdtZ,https://api.spotify.com/v1/tracks/13lZDbwonGhOflQLQIfdtZ,https://api.spotify.com/v1/audio-analysis/13lZDbwonGhOflQLQIfdtZ,140179,4,13lZDbwonGhOflQLQIfdtZ,We're Going to Be Friends,The White Stripes,White Blood Cells

0.388,0.694,5,-5.769,1,0.0735,0.118,0.000293,0.082,0.365,145.434,audio_features,7gpy7sfWPNuOKmUNs3XQYE,spotify:track:7gpy7sfWPNuOKmUNs3XQYE,https://api.spotify.com/v1/tracks/7gpy7sfWPNuOKmUNs3XQYE,https://api.spotify.com/v1/audio-analysis/7gpy7sfWPNuOKmUNs3XQYE,278373,5,7gpy7sfWPNuOKmUNs3XQYE,Carry On,fun.,Some Nights

0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,audio_features,5e9TFTbltYBg2xThimr0rU,spotify:track:5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/tracks/5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/audio-analysis/5e9TFTbltYBg2xThimr0rU,270213,4,5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe)

0.286,0.745,6,-8.073,0,0.0585,0.000549,0.00145,0.479,0.58,164.065,audio_features,4OdPDkj0lmvfcPaQHas77n,spotify:track:4OdPDkj0lmvfcPaQHas77n,https://api.spotify.com/v1/tracks/4OdPDkj0lmvfcPaQHas77n,https://api.spotify.com/v1/audio-analysis/4OdPDkj0lmvfcPaQHas77n,250400,4,4OdPDkj0lmvfcPaQHas77n,Jack the Ripper,Morrissey,World of Morrissey

